ID,CarNumber,Make_n_model,Refund,Fines,History
0,Y163O8161RUS,Ford Focus,2.0,3200,
1,E432XX77RUS,Toyota Camry,1.0,6500,
2,7184TT36RUS,Ford Focus,1.0,2100,
3,X582HE161RUS,Ford Focus,2.0,2000,
4,E34877152RUS,Ford Focus,2.0,6100,
5,92918M178RUS,Ford Focus,1.0,5700,
6,E53488152RUS,Ford Focus,2.0,1800,
7,X4128H125RUS,Ford Focus,1.0,,2
8,C593EY154RUS,Ford Focus,1.0,1000,
9,8049HT125RUS,Ford Focus,1.0,500,
10,H234YH197RUS,Ford Focus,2.0,6000,
11,E40577152RUS,Ford Focus,1.0,,
12,707987163RUS,Ford Focus,2.0,2200,
13,K330T8197RUS,Skoda Octavia,2.0,8200,
14,X786CO96RUS,Ford Focus,1.0,,
15,C477M7161RUS,Ford Focus,1.0,2500,
16,O21997197RUS,Ford Focus,1.0,2000,
17,M592CH197RUS,Skoda Octavia,2.0,,
18,9020YC197RUS,Skoda Octavia,2.0,145000,
19,8182XX154RUS,Ford Focus,1.0,200,
20,7830C8197RUS,Ford Focus,2.0,,
21,9408H7178RUS,Skoda Octavia,1.0,1000,
22,7066C8197RUS,Volkswagen Passat,2.0,15000,3
23,M298CH161RUS,Ford Focus,2.0,,
24,M0299X197RUS,Ford Focus,2.0,19200,
25,M268CH197RUS,Toyota Camry,2.0,800,
26,E445TC197RUS,Ford Focus,1.0,,
27,8440XX154RUS,Ford Focus,1.0,6200,
28,9371CE154RUS,Skoda Octavia,2.0,,
29,9182CE154RUS,Ford Focus,2.0,19800,
30,8601XX154RUS,Skoda Octavia,1.0,1300,
31,X286TC36RUS,Ford Focus,1.0,500,
32,83298C154RUS,Ford Focus,2.0,,
33,Y7659C197RUS,Ford Focus,2.0,,
34,C922YE197RUS,Volkswagen Golf,2.0,3800,
35,E34877152RUS,Ford Focus,2.0,6100,
36,9935TE152RUS,Ford Focus,2.0,2500,
37,7364C8197RUS,Ford Focus,2.0,,
38,M375CH197RUS,Ford Focus,2.0,18100,
39,M5039X197RUS,Volkswagen,2.0,7400,
40,8603T8154RUS,Ford Focus,1.0,1500,1
41,83218C154RUS,Ford Focus,1.0,100,
42,9499KX178RUS,Ford Focus,2.0,2300,
43,92928M178RUS,Ford Focus,1.0,,
44,H232YH197RUS,Ford Focus,1.0,8600,
45,O672E8197RUS,Skoda Octavia,2.0,63300,
46,E42277152RUS,Ford Focus,2.0,10600,
47,X767HY197RUS,Ford Focus,2.0,18000,
48,C903MC161RUS,Volkswagen Jetta,1.0,1600,
49,T7318T163RUS,Toyota Camry,2.0,12000,
50,Y7719C197RUS,Ford Focus,1.0,9200,
51,T011MY163RUS,Ford Focus,1.0,2000,
52,H115YO163RUS,Ford Focus,1.0,2200,
53,C420X938RUS,Ford Focus,1.0,3300,5
54,934497178RUS,Skoda Octavia,2.0,1900,
55,X765HY197RUS,Ford Focus,2.0,13900,
56,73467Y96RUS,Ford Focus,1.0,800,
57,T6488M116RUS,Ford Focus,2.0,21000,
58,O134HE197RUS,Ford Focus,1.0,,
59,H968HY161RUS,Ford Focus,1.0,2400,
60,Y654E8750RUS,Skoda Octavia,1.0,500,
61,H963HY161RUS,Ford Focus,2.0,2800,
62,H232YH197RUS,Ford Focus,2.0,8600,
63,7843C8197RUS,Ford Focus,2.0,12300,
64,X791O796RUS,Ford Focus,1.0,500,
65,Y359O8197RUS,Ford Focus,2.0,2000,
66,H958HY161RUS,Ford Focus,1.0,1800,2
67,X761HY197RUS,Ford Focus,2.0,18300,
68,708587163RUS,Ford Focus,2.0,1400,
69,Y358O8197RUS,Ford Focus,2.0,21800,
70,Y973O8197RUS,Ford Focus,2.0,,
71,9677MO178RUS,Ford Mondeo,2.0,1100,
72,97977H178RUS,Ford Focus,1.0,1000,
73,7066C8197RUS,Volkswagen Passat,2.0,3000,
74,H917TC36RUS,Ford Focus,2.0,4000,
75,7361C8197RUS,Ford Focus,1.0,800,
76,92928M178RUS,Ford Focus,2.0,1200,
77,X786CO96RUS,Ford Focus,1.0,1000,
78,Y357O8197RUS,Ford Focus,1.0,2200,
79,Y7709C197RUS,Ford Focus,1.0,500,
80,E42377152RUS,Ford Focus,1.0,3000,4
81,8513XX154RUS,Ford Focus,1.0,1500,
82,T6418M116RUS,Ford Focus,2.0,24600,
83,T870X7163RUS,Skoda Octavia,2.0,2000,
84,8818C877RUS,Volkswagen Passat,1.0,2500,
85,T395OT197RUS,Volkswagen Touareg,2.0,,
86,K327T8197RUS,Volkswagen Golf,2.0,20800,
87,8311XX154RUS,Ford Focus,2.0,8600,
88,X423MK197RUS,Ford Focus,2.0,14300,
89,96429X178RUS,Ford Focus,1.0,2600,
90,O275O7161RUS,Ford Focus,2.0,16600,
91,7789KT197RUS,Ford Focus,2.0,12600,
92,7248C8197RUS,Ford Mondeo,1.0,8600,
93,O83697197RUS,Ford Focus,2.0,6100,
94,E28877161RUS,Ford Focus,1.0,1000,
95,T6068M116RUS,Ford Focus,1.0,1000,
96,9498KX178RUS,Ford Focus,2.0,1600,
97,9499KX178RUS,Ford Focus,2.0,2300,
98,99209X178RUS,Skoda Octavia,1.0,500,
99,T6449O50RUS,Ford Focus,2.0,,
100,9683EC178RUS,Ford Focus,2.0,26000,
101,Y353O8197RUS,Ford Focus,2.0,21800,6
102,O719MM163RUS,Ford Focus,2.0,2300,
103,7784KT197RUS,Ford Focus,2.0,6600,
104,E535MM199RUS,Volkswagen Touareg,1.0,500,
105,H967HY161RUS,Ford Focus,1.0,4500,
106,Y352O8197RUS,Ford Focus,2.0,103600,
107,7788KT197RUS,Ford Focus,2.0,12000,
108,Y351O8197RUS,Ford Focus,2.0,1500,
109,T479KX197RUS,Ford Focus,2.0,12000,3
110,92788M178RUS,Ford Focus,1.0,300,
111,E807HE77RUS,Ford Focus,2.0,4500,
112,7197TT36RUS,Ford Focus,1.0,6800,
113,M516CH161RUS,Ford Focus,1.0,1000,
114,89587X197RUS,Toyota Camry,1.0,,
115,7781KT197RUS,Ford Focus,2.0,600,
116,E645TH36RUS,Ford Focus,1.0,2400,
117,89587X197RUS,Toyota Camry,2.0,4400,
118,Y302E877RUS,Ford Focus,1.0,500,2
119,M058XE36RUS,Skoda Octavia,2.0,8500,
120,7830C8197RUS,Ford Focus,1.0,5100,
121,8166XX154RUS,Ford Focus,1.0,2400,
122,M589CH197RUS,Volkswagen,2.0,7900,
123,9408H7178RUS,Skoda Octavia,1.0,1000,
124,H387TM197RUS,Volkswagen Passat,2.0,1600,
125,8049HT125RUS,Ford Focus,1.0,500,
126,X015HY197RUS,Toyota Corolla,2.0,16000,
127,T769OT197RUS,Volkswagen Golf,2.0,30900,
128,9698MO178RUS,Volkswagen Golf,2.0,18400,
129,8685HE154RUS,Ford Focus,1.0,1000,3
130,O83697197RUS,Ford Focus,2.0,6100,
131,7177TT36RUS,Ford Focus,1.0,1000,
132,O77997197RUS,Ford Focus,1.0,22400,
133,X242EC197RUS,Volkswagen Golf,1.0,10600,
134,Y234E877RUS,Ford Focus,1.0,,
135,K357YE77RUS,Volkswagen Golf,1.0,5000,
136,97987H178RUS,Ford Focus,2.0,5000,
137,X257HE161RUS,Ford Focus,2.0,10000,
138,T479KX197RUS,Ford Focus,1.0,12000,
139,T399KX197RUS,Ford Focus,2.0,10200,2
140,H957HY161RUS,Ford Focus,1.0,2000,
141,K379HY161RUS,Volkswagen Golf,1.0,200,
142,T654HT96RUS,Toyota Corolla,1.0,4000,
143,E41977152RUS,Ford Focus,2.0,2400,
144,8439XX154RUS,Ford Focus,2.0,4600,
145,7194TT36RUS,Ford Focus,1.0,2300,
146,Y965EE197RUS,Ford Focus,2.0,9600,
147,X758HY197RUS,Ford Focus,,24200,
148,9464EX178RUS,Ford Focus,1.0,2100,
149,M0279X197RUS,Ford Focus,2.0,180000,
150,H224X836RUS,Ford Focus,1.0,3500,
151,E6849O154RUS,Volkswagen Golf,1.0,200,4
152,Y273O8197RUS,Ford Focus,2.0,26300,
153,96907X197RUS,BMW,,3000,
154,O83797197RUS,Ford Focus,2.0,75900,
155,9402KK197RUS,Toyota Camry,,,
156,7368C8197RUS,Ford Focus,1.0,4400,
157,Y194O8161RUS,Ford Focus,1.0,900,
158,H427YH197RUS,Volkswagen Passat,2.0,29700,
159,9583EY178RUS,Ford Focus,2.0,4300,
160,K376HE161RUS,Ford Focus,1.0,100,
161,Y038E877RUS,Ford Focus,2.0,6500,
162,9822H8161RUS,Ford Focus,1.0,100,2
163,7826C8197RUS,Ford Focus,2.0,3600,
164,9467EX178RUS,Ford Focus,2.0,3700,
165,K846YE77RUS,Volkswagen Passat,,2000,
166,E160YX77RUS,Ford Focus,2.0,2200,
